,Name,ISIN,coupon,issue date,last coupon date,maturity date,month_to_maturity,Dirty1.10,Dirty1.11,Dirty1.12,Dirty1.13,Dirty1.14,Dirty1.17,Dirty1.18,Dirty1.19,Dirty1.20,Dirty1.21,Dirty1.24,month_since_last_coupon
0,CAN 1.5 Jun 23,CA135087A610,0.015,2012-07-30,2021-12-01,2023-06-01,16,100.87438356164382,100.86849315068494,100.84260273972603,100.81671232876712,100.79082191780822,100.69315068493151,100.6472602739726,100.6413698630137,100.6354794520548,100.6895890410959,100.72191780821917,1
1,CAN 2.5 Jun 24,CA135087B451,0.025,2013-07-02,2021-12-01,2024-06-01,29,103.29397260273973,103.26082191780823,103.25767123287672,103.22452054794522,103.1813698630137,102.99191780821918,102.89876712328767,102.87561643835618,102.87246575342466,102.96931506849316,103.07986301369863,1
2,CAN 0.5 Mar 22,CA135087G328,0.005,2016-10-11,2021-09-01,2022-03-01,1,100.21945205479453,100.21082191780822,100.21219178082193,100.21356164383562,100.2049315068493,100.20904109589041,100.19041095890411,100.1917808219178,100.19315068493151,100.20452054794521,100.21863013698629,4
3,CAN 1.75 Mar 23,CA135087H490,0.0175,2017-10-06,2021-09-01,2023-03-01,13,101.56808219178082,101.56287671232877,101.54767123287671,101.52246575342465,101.5072602739726,101.42164383561645,101.37643835616437,101.38123287671232,101.38602739726026,101.43082191780822,101.45520547945206,4
4,CAN 2.25 Mar 24,CA135087J546,0.0225,2018-10-05,2021-09-01,2024-03-01,25,103.11753424657535,103.12369863013699,103.07986301369864,103.04602739726027,103.01219178082192,102.84068493150684,102.76684931506848,102.76301369863015,102.74917808219178,102.84534246575342,102.88383561643835,4
5,CAN 1.5 Sept 24,CA135087J967,0.015,2019-04-05,2021-09-01,2024-09-01,32,101.09835616438356,101.17246575342465,101.16657534246576,101.13068493150685,101.07479452054794,100.85712328767124,100.78123287671232,100.72534246575343,100.74945205479452,100.85356164383562,100.9758904109589,4
6,CAN 1.5 Feb 22,CA135087K601,0.015,2019-11-04,2021-08-01,2022-02-01,0,101.36575342465754,100.72986301369863,100.73397260273973,100.72808219178081,100.72219178082193,100.73452054794521,100.7286301369863,100.7327397260274,100.72684931506849,100.73095890410958,100.73328767123289,5
7,CAN 1.5 May 22,CA135087K866,0.015,2020-01-27,2021-11-01,2022-05-01,3,100.63767123287671,100.63178082191781,100.63589041095891,100.61999999999999,100.61410958904109,100.59643835616438,100.59054794520547,100.59465753424656,100.58876712328768,100.60287671232877,100.61520547945204,2
8,CAN 0.25 Aug 22,CA135087L286,0.0025,2020-05-04,2021-08-01,2022-08-01,6,99.91095890410959,99.90164383561644,99.89232876712329,99.88301369863014,99.87369863013699,99.83575342465754,99.81643835616438,99.81712328767124,99.83780821917809,99.85849315068492,99.87054794520547,5
9,CAN 0.25 Nov 22,CA135087L369,0.0025,2020-08-17,2021-11-01,2022-11-01,9,99.59794520547945,99.58863013698631,99.56931506849314,99.57,99.55068493150685,99.4827397260274,99.45342465753426,99.47410958904109,99.48479452054795,99.51547945205479,99.53753424657535,2
10,CAN 0.25 Apr 24,CA135087L690,0.0025,2020-10-16,2021-10-01,2024-04-01,26,98.02917808219178,98.02986301369863,98.00054794520548,97.97123287671234,97.93191780821918,97.75397260273974,97.68465753424657,97.67534246575342,97.67602739726027,97.78671232876712,97.82876712328768,3
11,CAN 0.25 Feb 23,CA135087L773,0.0025,2020-10-26,2021-08-01,2023-02-01,12,99.4209589041096,99.37164383561644,99.4023287671233,99.39301369863014,99.37369863013699,99.29575342465755,99.23643835616438,99.21712328767123,99.2678082191781,99.31849315068493,99.34054794520547,5
12,CAN 0.25 May 23,CA135087L856,0.0025,2021-02-05,2021-11-01,2023-05-01,15,99.12794520547945,99.1186301369863,99.09931506849314,99.09,99.06068493150686,98.9527397260274,98.90342465753425,98.9241095890411,98.92479452054795,98.9754794520548,99.00753424657535,2
13,CAN 0.25 Aug 23,CA135087M359,0.0025,2021-05-14,2021-08-01,2023-08-01,18,98.9189589041096,98.91164383561643,98.8933287671233,98.87601369863015,98.84969863013698,98.72575342465754,98.66543835616439,98.65112328767124,98.6758082191781,98.72949315068493,98.75554794520548,5
14,CAN 0.75 Oct 24,CA135087M508,0.0075,2021-07-12,2021-10-01,2024-10-01,33,98.76253424657536,98.7695890410959,98.74164383561644,98.69869863013699,98.65575342465753,98.42691780821917,98.33897260273972,98.35102739726027,98.36808219178083,98.50513698630138,98.58630136986301,3
15,CAN 0.5 Nov 23,CA135087M763,0.005,2021-08-09,2021-11-01,2023-11-01,21,99.0638904109589,99.0522602739726,99.0326301369863,99.011,98.9793698630137,98.8374794520548,98.77284931506848,98.7362191780822,98.77058904109589,98.8279589041096,98.86106849315068,2
16,CAN 0.75 Feb 24,CA135087M920,0.0075,2021-10-22,2021-08-01,2024-02-01,24,99.53287671232877,99.53493150684932,99.49698630136986,99.4690410958904,99.43109589041096,99.26726027397261,99.18931506849316,99.1913698630137,99.18342465753425,99.2554794520548,99.31164383561644,5
17,CAN 9.25 Jun 22,CA135087UM44,0.0925,1991-12-15,2021-12-01,2022-06-01,4,104.40369863013699,104.39904109589041,104.39438356164383,104.33972602739726,104.32506849315068,104.35109589041096,104.3364383561644,104.34178082191781,104.29712328767124,104.31246575342465,104.36849315068493,1
18,CAN 8 Jun 23,CA135087UT96,0.08,1992-08-16,2021-12-01,2023-06-01,16,110.49671232876713,110.4886301369863,110.46054794520549,110.40246575342465,110.38438356164384,110.31013698630137,110.25205479452055,110.25397260273974,110.2058904109589,110.2678082191781,110.33356164383562,1
19,CAN 2.75 Jun 22,CA135087ZU15,0.0275,2011-08-02,2021-12-01,2022-06-01,4,101.20136986301371,101.19890410958904,101.19643835616438,101.17397260273972,101.17150684931507,101.1541095890411,101.14164383561643,101.14917808219178,101.13671232876713,101.15424657534246,101.1768493150685,1
20,CAN 2.25 Jun 25,CA135087D507,0.0225,2014-06-29,2021-12-01,2025-06-01,41,103.15657534246574,103.1427397260274,103.15890410958905,103.13506849315068,103.06123287671234,102.81972602739727,102.6458904109589,102.56205479452055,102.6082191780822,102.69438356164383,102.90287671232876,1
21,CAN 1.5 Jun 26,CA135087E679,0.015,2015-07-20,2021-12-01,2026-06-01,53,100.28438356164384,100.33849315068494,100.30260273972603,100.29671232876713,100.19082191780822,99.89315068493151,99.7672602739726,99.6313698630137,99.65547945205479,99.8595890410959,100.02191780821917,1
22,CAN 1 Jun 27,CA135087F825,0.01,2016-08-02,2021-12-01,2027-06-01,65,97.2895890410959,97.39232876712329,97.43506849315068,97.42780821917809,97.31054794520547,96.94876712328767,96.71150684931507,96.57424657534246,96.65698630136986,96.83972602739726,97.12794520547945,1
23,CAN 2 Jun 28,CA135087H235,0.02,2017-08-01,2021-12-01,2028-06-01,77,102.61417808219177,102.69965753424657,102.60513698630137,102.63061643835616,102.48609589041097,102.05253424657535,101.73301369863013,101.67849315068493,101.72397260273974,102.09945205479451,102.4208904109589,1
24,CAN 2.25 Jun 29,CA135087J397,0.0225,2018-07-27,2021-12-01,2029-06-01,89,104.68657534246574,104.8427397260274,104.85890410958903,104.86506849315067,104.65123287671233,104.26972602739727,103.9258904109589,103.77205479452054,103.8982191780822,104.33438356164383,104.69287671232877,1
25,CAN 1.25 Mar 25,CA135087K528,0.0125,2019-10-10,2021-09-01,2025-03-01,38,100.0886301369863,100.12205479452055,100.06547945205479,100.04890410958905,99.95232876712328,99.72260273972603,99.59602739726027,99.58945205479452,99.58287671232875,99.74630136986302,99.86657534246575,4
26,CAN 0.5 Sept 25,CA135087K940,0.005,2020-04-03,2021-09-01,2025-09-01,44,96.83945205479452,96.90082191780822,96.95219178082192,96.95356164383561,96.86493150684932,96.61904109589042,96.45041095890411,96.34178082191781,96.38315068493151,96.5045205479452,96.68863013698629,4
